Month,Search
2010-12,89
2011-01,97
2011-02,96
2011-03,92
2011-04,91
2011-05,87
2011-06,83
2011-07,82
2011-08,85
2011-09,85
2011-10,84
2011-11,83
2011-12,71
2012-01,86
2012-02,100
2012-03,91
2012-04,81
2012-05,85
2012-06,79
2012-07,82
2012-08,83
2012-09,88
2012-10,86
2012-11,74
2012-12,66
2013-01,78
2013-02,75
2013-03,74
2013-04,72
2013-05,69
2013-06,67
2013-07,70
2013-08,67
2013-09,68
2013-10,68
2013-11,67
2013-12,69
2014-01,70
2014-02,75
2014-03,78
2014-04,84
2014-05,73
2014-06,74
2014-07,69
2014-08,60
2014-09,66
2014-10,70
2014-11,65
2014-12,54
2015-01,63
2015-02,69
2015-03,67
2015-04,65
2015-05,61
2015-06,61
2015-07,61
2015-08,59
2015-09,71
2015-10,68
2015-11,63
2015-12,53
2016-01,60
2016-02,63
2016-03,61
2016-04,60
2016-05,56
2016-06,56
2016-07,53
2016-08,52
2016-09,56
2016-10,53
2016-11,52
2016-12,47
2017-01,65
2017-02,62
2017-03,61
2017-04,60
2017-05,60
2017-06,53
2017-07,49
2017-08,52
2017-09,49
2017-10,57
2017-11,50
2017-12,45
2018-01,50
2018-02,51
2018-03,50
